zip,population_size,kappa,nu,avgsh,sdsh,lon,lat,h_crowding,w_crowding
293,392169,7.370407452,0.522267355,0.011788156,0.005767608,-81.91046,34.84524667,98.34030133,751.9164333
294,731510,8.495118767,0.307655363,0.014440899,0.005982882,-80.13155893,32.96149643,138.5123591,1381.007187
295,635161,8.075576642,0.359532488,0.013245715,0.006001434,-79.42674107,34.07275893,100.1041318,639.5923943
296,957307,8.407575105,0.39749925,0.011857256,0.005758684,-82.57896769,34.67650769,103.5181561,1061.996659
297,352010,6.894172241,0.513778657,0.012601404,0.006142961,-80.934328,34.862208,71.54684918,468.7679938
298,221822,6.162915224,0.39402976,0.01391015,0.006264246,-81.79751389,33.54707778,60.25021888,662.2803319
299,210720,5.661150677,0.320890576,0.014889908,0.006124827,-80.93676774,32.53816129,118.0628131,397.4459073
300,2177710,11.03892074,0.305623035,0.012671983,0.005979459,-84.158205,33.86625667,292.3263227,1251.379971
301,1182325,9.068382836,0.39924887,0.012916272,0.006030064,-84.83625263,34.00709298,224.0117642,542.5691765
302,1001003,9.514861393,0.171524131,0.013290558,0.006016547,-84.46099444,33.31931852,214.3412935,591.5416247
303,900273,8.258608528,0.257397081,0.012754544,0.005957766,-84.3843175,33.7976,218.3249514,3863.992677
304,224606,6.734045643,0.313837267,0.015432017,0.006408724,-82.13468409,32.42320909,55.30576288,415.9794533
305,627296,8.119771956,0.334586659,0.012250006,0.005869659,-83.71318667,34.53047667,201.8969431,585.5145499
306,384038,7.263950856,0.425474124,0.012822671,0.006139288,-83.24813256,33.87382326,122.8187385,1497.075921
307,367551,6.970452679,0.477499991,0.012820553,0.00601798,-85.11925161,34.7683129,89.13061288,442.7715015
308,187708,5.290206983,0.376054297,0.013856508,0.006248338,-82.34844091,33.33746818,150.9169944,367.338677
309,202193,5.622043814,0.404058471,0.013668007,0.006340547,-82.0500125,33.454025,148.1381568,957.9804285
310,541882,7.591183213,0.388896047,0.01465843,0.006390096,-83.45817073,32.57570366,85.14291887,599.0791763
312,165895,6.503500152,0.193116136,0.014136635,0.006251556,-83.65815,32.83755,110.0317155,1240.396445
313,204505,5.770530162,0.262255388,0.015476876,0.006200998,-81.40755417,31.94228333,135.3396834,1404.838385
314,236823,4.824303356,0.549986482,0.015593299,0.006271372,-81.11898182,32.04646364,158.6299552,1302.130249
315,334359,7.392106572,0.285953338,0.015643249,0.00588208,-82.12371111,31.3382,85.73755659,395.1888851
316,191534,5.578019326,0.578157659,0.016025531,0.006083025,-83.20214516,30.99509032,73.33739855,428.5998308
317,372879,7.433608462,0.548918613,0.01542955,0.006022078,-83.85228776,31.47989388,70.8021899,501.853815
318,86317,4.307233384,0.375538523,0.0142341,0.006083715,-84.71741111,32.52316296,139.1661835,480.3686481
319,189947,5.703619164,0.550169493,0.014120696,0.006013296,-84.94664286,32.47301429,154.8182222,627.2259422
320,598296,6.657564675,0.215096413,0.016018842,0.005574694,-82.19688222,30.16383111,232.7848338,762.6749179
321,564926,7.293491681,0.102075101,0.016386149,0.005105106,-81.42903333,29.30422857,138.3919941,655.3896162
322,903481,7.57716697,0.159692538,0.015656239,0.005520953,-81.62624571,30.29889143,271.032302,1995.370931
323,427215,6.467462306,0.263842197,0.015628481,0.005803774,-84.25935,30.31031842,119.3943439,1211.930832
324,340250,7.399267488,0.130116363,0.0151982,0.005572611,-85.53410227,30.51523182,80.65520962,499.240663
325,638512,5.898247772,0.251768233,0.015404479,0.005830961,-86.977205,30.55329,113.0699492,874.9197829
326,356708,6.692259536,0.609863137,0.016113092,0.005396169,-82.49119024,29.59294146,126.8851784,2994.486628
327,940101,9.549059316,0.10138187,0.017043296,0.005220563,-81.32841951,28.77822927,161.1916663,1674.826716
328,878243,9.468324789,0.072212709,0.017217532,0.005347169,-81.341175,28.5022875,299.5171708,9623.61384
329,615922,7.504778443,0.22304807,0.017145733,0.004804206,-80.615,28.03435152,184.266276,1323.287493
330,1611177,11.72154086,0.000278123,0.01769629,0.004131534,-80.41181,25.757792,237.8909533,905.889848
331,1857610,12.08766869,0,0.01758284,0.004084431,-80.29098575,25.76816551,NA,NA
333,765608,10.3693822,0.010039569,0.017337499,0.00415934,-80.23595556,26.1262,250.1177811,4213.013631
334,1427494,10.80725199,0.014528248,0.017068487,0.004065615,-80.19982982,26.62254737,205.3963822,1578.349784
335,709090,7.061392672,0.19163399,0.018141183,0.005320961,-82.26497805,28.12596341,234.296442,528.5004169
336,717255,8.322314278,0.144285061,0.017352432,0.005137445,-82.47966667,27.99729259,176.4161402,3244.542229
337,731863,7.775967822,0.079742243,0.016829763,0.005045982,-82.73416154,27.85845897,117.6524532,1911.223789
338,704015,8.285224288,0.105606995,0.017596791,0.00520651,-81.68286122,27.87742041,168.3063489,1554.54569
339,733439,8.700429889,0.09898867,0.017832897,0.004787464,-81.897108,26.696728,110.3316044,1284.341842
341,372792,6.947865865,0.223207686,0.017961791,0.004547465,-81.63872083,26.12417083,178.540387,877.3361746
342,754925,6.963401922,0.118045899,0.016941104,0.004833272,-82.41384348,27.30071522,135.5536175,840.6909307
344,428674,8.198255606,0.227883959,0.016783282,0.005425256,-82.32379091,29.01516061,113.7261394,861.1169021
346,651889,6.732802419,0.159072201,0.016897946,0.005145488,-82.60625152,28.30551818,230.4638597,1086.219419
